Select Metropolitan Statistical Areas,Educational Attainment.Less than a Bachelor's Degree,Educational Attainment.Bachelor's Degree or Higher,Science and Engineering Degrees.Computer Science,Science and Engineering Degrees.Engineering,Science and Engineering Degrees.Civil Engineering,Science and Engineering Degrees.Electrical Engineering,Science and Engineering Degrees.Mechanical Engineering,Science and Engineering Degrees.Mathematics,Science and Engineering Degrees.Biology,Science and Engineering Degrees.Chemistry,Science and Engineering Degrees.Psychology,Science and Engineering Degrees.Economics,Science and Engineering Degrees.Political Science,Science and Engineering Degrees.Sociology,Science and Engineering Degrees.Nursing,Science and Engineering Degrees.Other Science and Engineering Degrees2,Business Degrees.General Business,Business Degrees.Accounting,Business Degrees.Business Management and Adminstration,Business Degrees.Marketing,Business Degrees.Finance,Business Degrees.Other Business Degrees,Education Degrees.General Education,Education Degrees.Elementary Education,Education Degrees.Other Education Degrees,"Arts, Humanities and Other Degrees.Communications","Arts, Humanities and Other Degrees.English Language and Literature","Arts, Humanities and Other Degrees.Liberal Arts","Arts, Humanities and Other Degrees.History","Arts, Humanities and Other Degrees.Fine Arts","Arts, Humanities and Other Degrees.Commerical Art and Graphic Design","Arts, Humanities and Other Degrees.Family and Consumer Sciences","Arts, Humanities and Other Degrees.Physical Fitness, Parks, Recreation, and Leisure","Arts, Humanities and Other Degrees.Criminal Justice and Fire Protection","Arts, Humanities and Other Degrees.Social Work","Arts, Humanities and Other Degrees.Other Degrees"
"Phoenix-Mesa-Chandler, AZ",42800,72370,113900,98470,103900,105700,103000,93880,76390,87510,62740,89070,89260,60540,77220,77270,73050,89090,79360,85690,94410,79070,56730,52180,53880,63750,72220,56390,73520,60820,61820,52450,65300,67690,54060,61640
"Pittsburgh, PA",42130,71040,101900,81340,93960,101800,115200,80830,75080,85440,58120,86400,68680,54790,71980,76780,70750,82670,73270,73430,93300,63980,61700,65110,66170,66260,60660,60460,63090,56590,60980,44110,58190,71280,55240,56960
"Portland-Vancouver-Hillsboro, OR-WA",44090,79660,127200,97230,118500,137600,114200,99520,93490,123700,66870,112300,92560,67110,92460,82230,91430,82880,86260,79080,109300,94730,60850,61640,65680,63990,66630,56790,67280,41000,69890,48170,73110,72940,61680,64420
"Riverside-San Bernardino-Ontario, CA",40730,73810,71790,80750,113800,122600,103500,74220,75430,72280,61860,76280,83590,54920,89350,74050,79320,73300,77770,79170,93230,67790,72990,77420,71750,52190,66400,70160,100100,55960,50970,54950,62110,69050,62190,64360
"Sacramento-Roseville-Folsom, CA",43780,84430,101100,87830,120200,143200,95830,80220,103700,80020,77900,100100,99670,66870,112300,88550,90940,77450,86820,95520,89000,82590,70680,68950,68680,81580,70850,80120,82090,59100,79070,53330,75040,70540,66130,69420
"St. Louis, MO-IL",41420,72350,107800,97290,103600,99430,103800,57280,71060,96610,59460,106500,89370,61190,74290,81080,82580,93960,74010,77190,90160,88130,52330,52710,59250,64260,63580,65250,62510,49860,66400,53210,73230,59500,43960,56440
"San Antonio-New Braunfels, TX",36640,65300,86290,75480,90800,82400,99130,47590,70960,69460,59130,72030,68820,55770,73250,71840,68360,75490,67960,64950,91920,65980,50630,52480,61910,57190,60030,64440,70750,41170,57210,53110,59630,68690,56860,54310
"San Diego-Chula Vista-Carlsbad, CA",41990,84380,116000,101300,101900,133200,120400,82010,97570,115800,65500,100800,93580,63920,94630,91140,85040,92330,78270,70860,90870,81000,55740,50230,51950,72410,72950,72560,85250,64250,64250,67570,62700,70860,48770,70720
"San Francisco-Oakland-Berkeley, CA",45020,114800,166700,151200,122000,182100,154400,157200,116600,145300,92430,128400,125300,92840,114500,121100,114500,120800,121700,105400,127300,119100,80630,69540,68680,98580,100200,91970,116100,78470,86210,66030,90260,86850,90070,89900
"Seattle-Tacoma-Bellevue, WA",50940,98000,171300,138400,124900,151700,123300,117200,89200,97270,79060,120900,102100,85410,87550,102100,92970,97260,90860,88940,120500,91700,70860,81440,70130,76120,79050,78440,89960,61450,73430,57710,86880,80290,68050,74560
"Tampa-St. Petersburg-Clearwater, FL",38830,67880,99890,90070,101100,91050,92200,103200,81960,90060,54760,82560,67640,62270,77490,73620,76530,78240,69560,75180,94930,77110,49440,52480,57910,60770,54580,77800,62420,48140,48010,53930,52100,60800,52210,56360
"Washington-Arlington-Alexandria, DC-VA-MD-WV",44800,100200,128600,117800,127200,142700,122500,117900,104700,118500,81110,118400,112900,81690,92520,102500,102900,103800,101200,93670,120000,100900,70850,65490,72610,82760,95360,93330,106300,80250,72870,71750,76130,95660,67440,86050
