Select Metropolitan Statistical Areas,Total Population,Educational Attainment.Less than a Bachelor's Degree,Educational Attainment.All Bachelor's Degree Holders,Science and Engineering Degrees.Computer Science,Science and Engineering Degrees.Engineering,Science and Engineering Degrees.Civil Engineering,Science and Engineering Degrees.Electrical Engineering,Science and Engineering Degrees.Mechanical Engineering,Science and Engineering Degrees.Mathematics,Science and Engineering Degrees.Biology,Science and Engineering Degrees.Chemistry,Science and Engineering Degrees.Psychology,Science and Engineering Degrees.Economics,Science and Engineering Degrees.Political Science,Science and Engineering Degrees.Sociology,Science and Engineering Degrees.Nursing,Science and Engineering Degrees.Other Science and Engineering Degrees2,Business Degrees.General Business,Business Degrees.Accounting,Business Degrees.Business Management and Adminstration,Business Degrees.Marketing,Business Degrees.Finance,Business Degrees.Other Business Degrees,Education Degrees.General Education,Education Degrees.Elementary Education,Education Degrees.Other Education Degrees,"Arts, Humanities and Other Degrees.Communications","Arts, Humanities and Other Degrees.English Language and Literature","Arts, Humanities and Other Degrees.Liberal Arts","Arts, Humanities and Other Degrees.History","Arts, Humanities and Other Degrees.Fine Arts","Arts, Humanities and Other Degrees.Commerical Art and Graphic Design","Arts, Humanities and Other Degrees.Family and Consumer Sciences","Arts, Humanities and Other Degrees.Physical Fitness, Parks, Recreation, and Leisure","Arts, Humanities and Other Degrees.Criminal Justice and Fire Protection","Arts, Humanities and Other Degrees.Social Work","Arts, Humanities and Other Degrees.Other Degrees"
"Portland-Vancouver-Hillsboro, OR-WA",1392000,57.2,42.8,2.4,1.0,0.8,2.3,1.7,1.2,3.6,0.8,5.4,1.8,2.5,1.6,3.7,21.7,4.5,2.4,4.1,2.0,1.4,1.7,2.1,1.5,2.0,2.9,4.0,1.3,1.9,1.8,1.8,0.7,1.2,0.9,0.7,10.7
"Riverside-San Bernardino-Ontario, CA",2399000,76.2,23.8,2.5,1.1,0.9,1.6,1.0,1.2,3.8,0.8,5.4,1.6,2.2,2.4,6.0,16.3,5.6,3.0,7.5,1.7,1.4,2.8,3.3,1.2,1.7,2.1,2.3,2.2,1.5,1.2,1.2,1.6,1.3,3.5,0.9,7.2
"Sacramento-Roseville-Folsom, CA",1257000,63.1,36.9,2.4,1.1,1.6,2.2,1.3,1.1,3.5,0.8,5.3,3.0,2.6,2.3,3.8,21.3,4.3,2.8,5.4,1.6,1.8,2.2,1.6,0.6,1.8,3.4,2.9,1.9,1.6,1.0,1.0,1.7,1.7,2.2,0.9,7.3
"St. Louis, MO-IL",1453000,59.3,40.7,2.7,0.8,0.7,1.8,1.4,0.9,3.7,1.3,4.3,1.0,2.2,1.0,5.2,17.1,5.2,3.8,6.7,3.3,2.0,2.7,3.4,3.4,3.7,3.0,2.3,0.9,1.4,1.0,1.0,0.6,1.6,1.9,0.8,7.3
"San Antonio-New Braunfels, TX",1379000,66.3,33.7,2.2,1.0,1.1,1.0,1.1,1.1,4.9,0.5,4.0,0.8,2.0,1.0,5.0,19.4,4.5,3.0,8.0,2.5,2.0,3.4,4.5,2.3,2.6,2.2,2.9,0.9,2.1,0.7,0.7,0.8,2.0,3.3,0.8,6.2
"San Diego-Chula Vista-Carlsbad, CA",1761000,56.0,44.0,2.9,1.5,1.2,3.4,1.7,1.1,3.8,1.4,5.4,2.7,2.5,1.5,3.7,21.0,4.2,2.8,5.3,2.3,1.9,2.5,1.7,0.7,1.3,3.0,2.4,1.7,1.7,0.8,1.2,1.2,1.6,1.7,0.6,7.3
"San Francisco-Oakland-Berkeley, CA",2562000,43.4,56.6,5.5,1.4,1.2,3.5,2.0,1.6,3.6,1.4,4.6,4.0,2.6,2.0,2.6,22.2,3.9,2.6,4.6,1.5,1.7,2.5,1.1,0.5,1.3,2.3,3.3,1.3,2.0,1.4,1.5,0.7,0.8,0.9,0.3,7.9
"Seattle-Tacoma-Bellevue, WA",2285000,51.2,48.8,7.2,1.4,1.1,3.9,2.4,1.4,3.2,0.9,3.9,2.5,2.4,1.7,3.1,21.6,3.7,2.6,4.6,1.8,1.7,2.2,1.7,1.2,1.8,2.7,2.7,1.1,1.8,1.2,1.2,0.5,0.9,1.0,0.6,8.3
"Tampa-St. Petersburg-Clearwater, FL",1722000,63.0,37.0,1.8,1.1,0.7,1.2,1.2,0.7,3.5,0.8,5.0,1.9,2.1,0.9,5.8,19.4,5.0,3.7,6.8,3.5,3.3,3.1,2.9,2.4,2.3,2.3,1.9,0.4,1.7,0.7,1.1,0.5,1.6,2.6,1.0,7.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV",3466000,43.7,56.3,3.5,1.1,1.0,2.3,1.3,1.3,3.5,1.0,4.5,3.5,6.0,1.5,2.4,20.2,3.7,3.6,5.4,1.7,2.1,2.6,1.9,1.2,1.9,2.6,3.1,0.8,3.0,0.7,0.8,0.4,0.9,2.2,0.6,8.0
