Field of Degree,Total,Sex.Male,Sex.Female,Age.25 to 34,Age.35 to 44,Age.45 to 54,Age.55 to 64,Race and Hispanic Origin.White Alone,Race and Hispanic Origin.Black Alone,Race and Hispanic Origin.Asian Alone,"Race and Hispanic Origin.Hispanic, of Any Race",Race and Hispanic Origin.Other or Multiple Race,Educational Attainmnent.Bachelor's Degree,Educational Attainmnent.Master's Degree,Educational Attainmnent.Professional Degree,Educational Attainmnent.Doctorate Degree,Employment.Employed,Employment.Unemployed,Employment.Not in Labor Force,Poverty Status.In Poverty,Poverty Status.Not In Poverty
Fine Arts,16660.0,1.11,1.11,0.92,0.87,1.0,0.83,1.17,0.68,0.57,0.75,0.55,0.8,0.76,0.33,0.24,0.93,0.35,0.87,0.6,0.6
Commerical Art and Graphic Design,17110.0,1.06,1.06,1.04,1.09,0.93,0.78,1.12,0.58,0.62,0.68,0.5,0.66,0.61,0.22,0.12,0.91,0.33,0.83,0.47,0.47
Family and Consumer Sciences,11120.0,0.75,0.75,1.15,1.15,1.04,0.96,1.19,0.73,0.62,0.89,0.5,1.08,1.07,0.39,0.3,0.88,0.3,0.84,0.61,0.61
Physical Fitness Parks Recreation and Leisure,18150.0,1.21,1.21,0.88,0.75,0.63,0.44,0.79,0.68,0.35,0.67,0.42,0.99,0.82,0.46,0.42,0.67,0.22,0.63,0.32,0.32
Criminal Justice and Fire Protection,24310.0,0.7,0.7,0.84,0.74,0.62,0.59,0.8,0.67,0.21,0.56,0.32,0.66,0.66,0.3,0.21,0.54,0.22,0.47,0.38,0.38
Social Work,14320.0,0.81,0.81,0.92,1.04,0.96,0.77,0.95,0.95,0.5,0.76,0.53,1.14,1.18,0.36,0.3,0.97,0.29,0.97,0.53,0.53
Other Degrees,50010.0,0.35,0.35,0.35,0.35,0.27,0.32,0.39,0.28,0.18,0.24,0.2,0.35,0.27,0.2,0.15,0.3,0.11,0.27,0.19,0.19
Source: U.S. Census Bureau 2022 American Community Survey 1-year estimates. For more information refer to <www.census.gov/acs>.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The Census Bureau has reviewed this data product to ensure appropriate access use and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-001-0000001262 Disclosure Review Board (DRB) approval number: CBDRB-FY23-SEHSD003-068.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Note: 1. Science and Engineering related fields are included within the ""other science and engineering degrees"" category.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
